1741058016.153378,0
1741058016.264301,5
1741058016.373520,11
1741058016.482730,11
1741058016.605741,10
1741058016.714662,10
1741058016.823574,11
1741058016.932908,10
1741058017.041115,7
1741058017.149321,5
1741058017.259775,7
1741058017.368497,5
1741058017.478833,10
1741058017.587807,11
1741058017.704953,11
1741058017.814110,10
1741058017.923192,11
1741058018.031445,11
1741058018.139510,9
1741058018.248612,9
1741058018.356701,11
1741058018.515706,10
1741058018.623581,10
1741058018.739923,11
1741058018.848835,12
1741058018.953799,11
1741058019.061535,11
1741058019.170970,10
1741058019.278916,10
1741058019.387171,10
1741058019.498477,10
1741058019.606758,12
1741058019.725998,10
1741058019.834936,11
1741058019.938987,11
1741058020.048652,11
1741058020.157165,11
1741058020.267815,9
1741058020.375701,10
1741058020.479991,8
1741058020.591152,9
1741058020.709597,8
1741058020.844907,9
1741058020.954505,10
1741058021.062297,8
1741058021.170376,12
1741058021.284131,9
1741058021.392102,10
1741058021.501468,11
1741058021.610518,12
1741058021.724645,10
1741058021.834149,10
1741058021.937574,10
1741058022.044623,11
1741058022.154371,11
1741058022.263725,10
1741058022.372161,12
1741058022.480892,10
1741058022.588088,10
1741058022.705305,9
1741058022.818145,9
1741058022.927488,9
1741058023.035596,9
1741058023.148851,9
1741058023.256416,8
1741058023.365466,8
1741058023.474536,10
1741058023.580370,9
1741058023.698478,8
1741058023.806987,9
1741058023.914467,11
1741058024.023105,9
1741058024.133839,9
1741058024.241994,11
1741058024.352591,10
1741058024.461783,10
1741058024.570632,11
1741058024.690723,11
1741058024.806076,10
1741058024.911842,11
1741058025.016032,12
1741058025.124933,12
1741058025.235755,11
1741058025.343037,10
1741058025.452962,9
1741058025.557780,9
1741058025.666919,9
1741058025.780605,8
1741058025.891770,12
1741058025.996010,9
1741058026.104203,10
1741058026.212892,9
1741058026.320780,2
1741058026.426059,1
1741058026.533267,1
1741058026.642211,0
1741058026.756820,1
1741058026.866888,3
1741058026.970988,4
1741058027.074125,8
1741058027.183064,4
1741058027.287757,4
1741058027.397356,7
1741058027.505687,7
1741058027.615167,7
1741058027.729877,8
1741058027.840728,10
1741058027.950512,9
1741058028.061170,9
1741058028.172356,10
1741058028.281901,11
1741058028.392607,9
1741058028.504740,10
1741058028.621712,7
1741058028.736775,10
1741058028.846111,10
1741058028.955424,11
1741058029.058807,10
